soc,ocv_V,source,model,export_method
0.0,2.5,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.005,2.614638133626356,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.01,2.7114238501800187,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.015,2.7932319748840553,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.02,2.8624846308092327,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.025,2.921225417809665,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.03,2.971182140662284,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.035,3.0138199833839563,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.04,3.050386683458742,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.045,3.08195094325377,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.05,3.109434999152347,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.055,3.133641927194978,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.06,3.1552778785559346,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.065,3.1749690092089704,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.07,3.1932724401613397,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.075,3.210680283662585,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.08,3.2276158387469422,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.085,3.244421842267013,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.09,3.261342474041276,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.095,3.2785036174758972,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.1,3.295898845512274,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.105,3.313389969439223,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.11,3.3307287415983775,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.115,3.3475998376586515,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.12,3.363676826648037,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.125,3.378676969683076,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.13,3.3924010103039306,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
